Bedding_week,Date,Time,Age_in_months,IdLabel,total_visited_cages
1,2020-08-25,2023-03-15T16:00:00Z,18,16829E,30
1,2020-08-25,2023-03-15T16:00:00Z,20,16509C,5
1,2020-08-25,2023-03-15T16:00:00Z,25,14827B,6
1,2020-08-25,2023-03-15T16:00:00Z,37,10793A,22
1,2020-08-25,2023-03-15T17:00:00Z,12,19231J,205
1,2020-08-25,2023-03-15T17:00:00Z,15,18291F,29
1,2020-08-25,2023-03-15T17:00:00Z,18,16829E,64
1,2020-08-25,2023-03-15T17:00:00Z,20,16509C,28
1,2020-08-25,2023-03-15T17:00:00Z,25,14827B,91
1,2020-08-25,2023-03-15T17:00:00Z,37,10793A,12
1,2020-08-25,2023-03-15T18:00:00Z,12,19231J,276
1,2020-08-25,2023-03-15T18:00:00Z,15,18291F,88
1,2020-08-25,2023-03-15T18:00:00Z,18,16829E,88
1,2020-08-25,2023-03-15T18:00:00Z,20,16509C,147
1,2020-08-25,2023-03-15T18:00:00Z,25,14827B,182
1,2020-08-25,2023-03-15T18:00:00Z,37,10793A,63
1,2020-08-25,2023-03-15T19:00:00Z,12,19231J,239
1,2020-08-25,2023-03-15T19:00:00Z,15,18291F,345
1,2020-08-25,2023-03-15T19:00:00Z,18,16829E,134
1,2020-08-25,2023-03-15T19:00:00Z,20,16509C,200
1,2020-08-25,2023-03-15T19:00:00Z,25,14827B,288
1,2020-08-25,2023-03-15T19:00:00Z,37,10793A,70
1,2020-08-25,2023-03-15T20:00:00Z,12,19231J,239
1,2020-08-25,2023-03-15T20:00:00Z,15,18291F,259
1,2020-08-25,2023-03-15T20:00:00Z,18,16829E,77
1,2020-08-25,2023-03-15T20:00:00Z,20,16509C,63
1,2020-08-25,2023-03-15T20:00:00Z,25,14827B,209
1,2020-08-25,2023-03-15T20:00:00Z,37,10793A,83
1,2020-08-25,2023-03-15T21:00:00Z,12,19231J,234
1,2020-08-25,2023-03-15T21:00:00Z,15,18291F,262
1,2020-08-25,2023-03-15T21:00:00Z,18,16829E,88
1,2020-08-25,2023-03-15T21:00:00Z,20,16509C,110
1,2020-08-25,2023-03-15T21:00:00Z,25,14827B,273
1,2020-08-25,2023-03-15T21:00:00Z,37,10793A,51
1,2020-08-25,2023-03-15T22:00:00Z,12,19231J,212
1,2020-08-25,2023-03-15T22:00:00Z,15,18291F,90
1,2020-08-25,2023-03-15T22:00:00Z,18,16829E,83
1,2020-08-25,2023-03-15T22:00:00Z,20,16509C,214
1,2020-08-25,2023-03-15T22:00:00Z,25,14827B,214
