Week,Day,Phase,Age_in_months,IdLabel,Cage,Height,cage_visits_sum
1,5,light,37,10793A,Tube 1:2,Down,1
1,5,light,37,10793A,Tube 2:3,Down,1
1,6,dark,12,19231J,Tube 1:2,Down,9
1,6,dark,12,19231J,Tube 1:2,Up,4
1,6,dark,12,19231J,Tube 2:3,Down,12
1,6,dark,12,19231J,Tube 2:3,Up,7
1,6,dark,15,18291F,Tube 1:2,Down,9
1,6,dark,15,18291F,Tube 1:2,Up,8
1,6,dark,15,18291F,Tube 2:3,Down,6
1,6,dark,15,18291F,Tube 2:3,Up,5
1,6,dark,25,14827B,Tube 1:2,Down,18
1,6,dark,25,14827B,Tube 1:2,Up,18
1,6,dark,25,14827B,Tube 2:3,Down,25
1,6,dark,25,14827B,Tube 2:3,Up,25
1,6,dark,37,10793A,Tube 1:2,Down,2
1,6,dark,37,10793A,Tube 1:2,Up,2
1,6,light,12,19231J,Tube 1:2,Down,3
1,6,light,12,19231J,Tube 1:2,Up,2
1,6,light,12,19231J,Tube 2:3,Down,1
1,6,light,12,19231J,Tube 2:3,Up,1
1,6,light,15,18291F,Tube 1:2,Down,6
1,6,light,15,18291F,Tube 1:2,Up,6
1,6,light,25,14827B,Tube 1:2,Down,2
1,6,light,25,14827B,Tube 1:2,Up,2
1,6,light,25,14827B,Tube 2:3,Down,2
1,6,light,25,14827B,Tube 2:3,Up,2
1,6,light,37,10793A,Tube 1:2,Down,1
1,6,light,37,10793A,Tube 1:2,Up,1
1,7,dark,12,19231J,Tube 1:2,Down,17
1,7,dark,12,19231J,Tube 1:2,Up,13
1,7,dark,12,19231J,Tube 2:3,Down,8
1,7,dark,12,19231J,Tube 2:3,Up,9
1,7,dark,15,18291F,Tube 1:2,Down,11
1,7,dark,15,18291F,Tube 1:2,Up,12
1,7,dark,15,18291F,Tube 2:3,Down,12
1,7,dark,15,18291F,Tube 2:3,Up,12
1,7,dark,25,14827B,Tube 1:2,Down,39
1,7,dark,25,14827B,Tube 1:2,Up,40
1,7,dark,25,14827B,Tube 2:3,Down,36
1,7,dark,25,14827B,Tube 2:3,Up,36
1,7,dark,37,10793A,Tube 1:2,Down,2
1,7,dark,37,10793A,Tube 1:2,Up,2
1,7,light,12,19231J,Tube 1:2,Down,4
1,7,light,12,19231J,Tube 1:2,Up,1
1,7,light,15,18291F,Tube 1:2,Down,6
1,7,light,15,18291F,Tube 1:2,Up,5
1,7,light,15,18291F,Tube 2:3,Down,1
1,7,light,15,18291F,Tube 2:3,Up,1
1,7,light,25,14827B,Tube 1:2,Down,2
1,7,light,25,14827B,Tube 1:2,Up,2
1,7,light,25,14827B,Tube 2:3,Down,6
1,7,light,25,14827B,Tube 2:3,Up,6
1,7,light,37,10793A,Tube 1:2,Down,1
1,7,light,37,10793A,Tube 1:2,Up,1
2,8,dark,12,19231J,Tube 1:2,Down,7
2,8,dark,12,19231J,Tube 1:2,Up,4
2,8,dark,12,19231J,Tube 2:3,Down,12
2,8,dark,12,19231J,Tube 2:3,Up,13
2,8,dark,15,18291F,Tube 1:2,Down,13
2,8,dark,15,18291F,Tube 1:2,Up,14
2,8,dark,15,18291F,Tube 2:3,Down,11
2,8,dark,15,18291F,Tube 2:3,Up,11
2,8,dark,18,16829E,Tube 1:2,Down,4
2,8,dark,18,16829E,Tube 1:2,Up,4
2,8,dark,18,16829E,Tube 2:3,Down,15
2,8,dark,18,16829E,Tube 2:3,Up,15
2,8,dark,25,14827B,Tube 1:2,Down,32
2,8,dark,25,14827B,Tube 1:2,Up,32
2,8,dark,25,14827B,Tube 2:3,Down,38
2,8,dark,25,14827B,Tube 2:3,Up,38
2,8,dark,37,10793A,Tube 1:2,Down,3
2,8,dark,37,10793A,Tube 1:2,Up,3
2,8,dark,37,10793A,Tube 2:3,Down,1
2,8,dark,37,10793A,Tube 2:3,Up,1
2,8,light,12,19231J,Tube 1:2,Down,2
2,8,light,12,19231J,Tube 1:2,Up,1
2,8,light,12,19231J,Tube 2:3,Down,4
2,8,light,12,19231J,Tube 2:3,Up,4
2,8,light,15,18291F,Tube 1:2,Down,7
2,8,light,15,18291F,Tube 1:2,Up,6
2,8,light,15,18291F,Tube 2:3,Down,2
2,8,light,15,18291F,Tube 2:3,Up,2
2,8,light,18,16829E,Tube 2:3,Down,1
2,8,light,18,16829E,Tube 2:3,Up,2
2,8,light,25,14827B,Tube 1:2,Down,6
2,8,light,25,14827B,Tube 1:2,Up,6
