Group,IdLabel,Day,Cage,Duration_entropy,Duration_entropy_light,Duration_entropy_dark
All,10793A,8,Cage 3-6,0.694,0,0
All,10793A,8,Tube 1:2,0.907,0,0
All,10793A,8,Tube 2:3,0.911,0,0
All,10793A,9,Cage 1-1,0.575,0,0
All,10793A,9,Cage 1-2,0.468,0,0
All,10793A,9,Cage 1-3,0.599,0,0
All,10793A,9,Cage 1-4,0.684,0,0
All,10793A,9,Cage 1-5,0.879,0,0
All,10793A,9,Cage 1-6,0.613,0,0
All,10793A,9,Cage 2-1,0.645,0,0
All,10793A,9,Cage 2-2,0.45,0,0
All,10793A,9,Cage 2-3,0.207,0,0
All,10793A,9,Cage 2-4,0.587,0,0
All,10793A,9,Cage 2-5,0.725,0,0
All,10793A,9,Cage 2-6,0.715,0,0
All,10793A,9,Cage 3-1,0.347,0,0
All,10793A,9,Cage 3-2,0.768,0,0
All,10793A,9,Cage 3-3,0.479,0,0
All,10793A,9,Cage 3-4,0.797,0,0
All,10793A,9,Cage 3-5,0.613,0,0
All,10793A,9,Cage 3-6,0.862,0,0
All,10793A,9,Tube 1:2,0.909,0,0
All,10793A,9,Tube 2:3,0.889,0,0
All,10793A,10,Cage 1-1,0.933,0,0
All,10793A,10,Cage 1-2,0.703,0,0
All,10793A,10,Cage 1-3,0.612,0,0
All,10793A,10,Cage 1-4,0.606,0,0
All,10793A,10,Cage 1-5,0.901,0,0.901
All,10793A,10,Cage 1-6,0.834,0,0
All,10793A,10,Cage 2-1,0.73,0,0
All,10793A,10,Cage 2-2,0.632,0,0
All,10793A,10,Cage 2-3,0.383,0,0
All,10793A,10,Cage 2-4,0.069,0,0
All,10793A,10,Cage 2-5,0.851,0,0
All,10793A,10,Cage 2-6,0.824,0,0
All,10793A,10,Cage 3-1,0.486,0,0
All,10793A,10,Cage 3-2,0.254,0.254,0
All,10793A,10,Cage 3-3,0,0,0
All,10793A,10,Cage 3-4,0.949,0.949,0
All,10793A,10,Cage 3-5,0.253,0.253,0
All,10793A,10,Cage 3-6,0.403,0.403,0
All,10793A,10,Tube 1:2,0.892,0,0
All,10793A,10,Tube 2:3,0.897,0,0
All,14827B,1,Cage 2-1,0.91,0.91,0
All,14827B,1,Cage 2-2,0.809,0.809,0
All,14827B,1,Cage 2-3,0.954,0.954,0
All,14827B,1,Cage 2-4,0.9,0.9,0
All,14827B,1,Cage 2-5,0.932,0.932,0
All,14827B,1,Cage 2-6,0.917,0.917,0
All,14827B,1,Tube 1:2,0.942,0.942,0
All,14827B,1,Tube 2:3,0.918,0.918,0
All,14827B,2,Cage 1-1,0.221,0,0.221
All,14827B,2,Cage 1-2,0.76,0,0.76
All,14827B,2,Cage 1-3,0.927,0,0.927
All,14827B,2,Cage 1-4,0.9,0,0.9
All,14827B,2,Cage 1-5,0.838,0,0.838
All,14827B,2,Cage 1-6,0.761,0,0.761
All,14827B,2,Cage 2-1,0.672,0,0.672
All,14827B,2,Cage 2-2,0.814,0,0.814
All,14827B,2,Cage 2-3,0.882,0,0.882
All,14827B,2,Cage 2-4,0.785,0,0.785
All,14827B,2,Cage 2-5,0.908,0,0.908
All,14827B,2,Cage 2-6,0.847,0,0.847
All,14827B,2,Cage 3-1,0.597,0,0
All,14827B,2,Cage 3-2,0.755,0,0
All,14827B,2,Cage 3-3,0.813,0,0
All,14827B,2,Cage 3-4,0.441,0,0
All,14827B,2,Cage 3-5,0.936,0,0
All,14827B,2,Cage 3-6,0.325,0,0
All,14827B,2,Tube 1:2,0.955,0,0.955
All,14827B,2,Tube 2:3,0.96,0,0
All,14827B,3,Cage 1-1,0.678,0,0
All,14827B,3,Cage 1-2,0.753,0,0
All,14827B,3,Cage 1-3,0.729,0,0
All,14827B,3,Cage 1-4,0.547,0,0
All,14827B,3,Cage 1-5,0.903,0,0
All,14827B,3,Cage 1-6,0.648,0,0
All,14827B,3,Cage 2-1,0.42,0,0
All,14827B,3,Cage 2-2,0.762,0,0
All,14827B,3,Cage 2-3,0.579,0,0
All,14827B,3,Cage 2-4,0.877,0,0
All,14827B,3,Cage 2-5,0.899,0,0
All,14827B,3,Cage 2-6,0.89,0,0
All,14827B,3,Cage 3-1,0.815,0,0
All,14827B,3,Cage 3-2,0.689,0,0.689
All,14827B,3,Cage 3-3,0.441,0,0
All,14827B,3,Cage 3-4,0.882,0,0.882
All,14827B,3,Cage 3-5,0.721,0,0.721
All,14827B,3,Cage 3-6,0.277,0,0.277
All,14827B,3,Tube 1:2,0.948,0,0
All,14827B,3,Tube 2:3,0.925,0,0
All,14827B,4,Cage 1-1,0.729,0,0
All,14827B,4,Cage 1-2,0.682,0,0
All,14827B,4,Cage 1-3,0.556,0,0
All,14827B,4,Cage 1-4,0.304,0,0
All,14827B,4,Cage 1-5,0.846,0,0
All,14827B,4,Cage 1-6,0.642,0,0
All,14827B,4,Cage 2-1,0.769,0,0
All,14827B,4,Cage 2-2,0.661,0,0
All,14827B,4,Cage 2-3,0.382,0,0
All,14827B,4,Cage 2-4,0.897,0,0
All,14827B,4,Cage 2-5,0.884,0,0
All,14827B,4,Cage 2-6,0.281,0,0
All,14827B,4,Cage 3-1,0.21,0,0
All,14827B,4,Cage 3-2,0.761,0,0
All,14827B,4,Cage 3-3,0.697,0,0
All,14827B,4,Cage 3-4,0.278,0,0
All,14827B,4,Cage 3-5,0.859,0,0
All,14827B,4,Cage 3-6,0.373,0,0
All,14827B,4,Tube 1:2,0.908,0,0
All,14827B,4,Tube 2:3,0.925,0,0
All,14827B,5,Cage 1-1,0.857,0,0
All,14827B,5,Cage 1-2,0.685,0,0
All,14827B,5,Cage 1-3,0.45,0,0
All,14827B,5,Cage 1-4,0.512,0,0
All,14827B,5,Cage 1-5,0.865,0,0
All,14827B,5,Cage 1-6,0.737,0,0
All,14827B,5,Cage 2-1,0.838,0,0
All,14827B,5,Cage 2-2,0.704,0,0
All,14827B,5,Cage 2-3,0.519,0,0
All,14827B,5,Cage 2-4,0.505,0,0
All,14827B,5,Cage 2-5,0.857,0,0
All,14827B,5,Cage 2-6,0.768,0,0
All,14827B,5,Cage 3-1,0.771,0,0
All,14827B,5,Cage 3-2,0.789,0,0
All,14827B,5,Cage 3-3,0.608,0,0
All,14827B,5,Cage 3-4,0.923,0,0
All,14827B,5,Cage 3-5,0.859,0,0
All,14827B,5,Cage 3-6,0.797,0,0
All,14827B,5,Tube 1:2,0.935,0,0
All,14827B,5,Tube 2:3,0.887,0,0
All,14827B,6,Cage 1-1,0.759,0,0
All,14827B,6,Cage 1-2,0.732,0,0
All,14827B,6,Cage 1-3,0.403,0,0
All,14827B,6,Cage 1-4,0.454,0,0
All,14827B,6,Cage 1-5,0.843,0,0
All,14827B,6,Cage 1-6,0.689,0,0
All,14827B,6,Cage 2-1,0.635,0,0
All,14827B,6,Cage 2-2,0.761,0,0
All,14827B,6,Cage 2-3,0.498,0,0
All,14827B,6,Cage 2-4,0.339,0,0
