Week,Time,Day,Age_in_months,IdLabel,sum_distance_hourly
1,2020-08-24T14:00:00Z,2,20,16509C,39425.2744308003
1,2020-08-24T15:00:00Z,2,20,16509C,11506.8541216375
1,2020-08-24T16:00:00Z,2,20,16509C,9250.46047114223
1,2020-08-24T17:00:00Z,2,20,16509C,8983.09059990972
1,2020-08-24T18:00:00Z,2,20,16509C,20896.9747808619
1,2020-08-24T19:00:00Z,2,20,16509C,13196.6648546265
1,2020-08-24T20:00:00Z,2,20,16509C,11617.8476679535
1,2020-08-24T21:00:00Z,2,20,16509C,3098.95924242271
1,2020-08-24T22:00:00Z,2,20,16509C,3713.96569610671
1,2020-08-24T23:00:00Z,2,20,16509C,2081.1721150643
1,2020-08-25T00:00:00Z,2,20,16509C,31235.8418098674
1,2020-08-25T01:00:00Z,2,20,16509C,26786.4439147935
1,2020-08-25T02:00:00Z,2,20,16509C,19971.1426513475
1,2020-08-25T03:00:00Z,2,20,16509C,1660.58070840083
1,2020-08-25T04:00:00Z,2,20,16509C,3119.96569610671
1,2020-08-25T06:00:00Z,2,20,16509C,4318.93563679207
1,2020-08-25T08:00:00Z,2,20,16509C,5597.13781117101
1,2020-08-25T09:00:00Z,2,20,16509C,9744.26271497402
1,2020-08-25T10:00:00Z,2,20,16509C,5112.53349713954
1,2020-08-25T11:00:00Z,2,20,16509C,1326.39144138989
1,2020-08-24T12:00:00Z,2,25,14827B,32657.485019635
1,2020-08-24T13:00:00Z,2,25,14827B,63915.714111184
1,2020-08-24T14:00:00Z,2,25,14827B,45642.6588807146
1,2020-08-24T15:00:00Z,2,25,14827B,32660.8469124441
1,2020-08-24T16:00:00Z,2,25,14827B,8908.82681671111
1,2020-08-24T17:00:00Z,2,25,14827B,2387.57425471683
1,2020-08-24T18:00:00Z,2,25,14827B,17767.3604305925
1,2020-08-24T19:00:00Z,2,25,14827B,33154.0454967779
1,2020-08-24T20:00:00Z,2,25,14827B,29633.0110192525
1,2020-08-24T21:00:00Z,2,25,14827B,24846.9771067091
1,2020-08-24T22:00:00Z,2,25,14827B,14345.1839542077
1,2020-08-24T23:00:00Z,2,25,14827B,9937.46913393161
1,2020-08-25T01:00:00Z,2,25,14827B,4049.14850943365
1,2020-08-25T02:00:00Z,2,25,14827B,11841.6477026799
1,2020-08-25T03:00:00Z,2,25,14827B,12996.0133293338
1,2020-08-25T04:00:00Z,2,25,14827B,2874.76997541177
1,2020-08-25T05:00:00Z,2,25,14827B,242
1,2020-08-25T06:00:00Z,2,25,14827B,5865.93139221343
1,2020-08-25T07:00:00Z,2,25,14827B,5596.14426485502
1,2020-08-25T08:00:00Z,2,25,14827B,14037.6133987866
1,2020-08-25T09:00:00Z,2,25,14827B,10764.0369349644
1,2020-08-25T10:00:00Z,2,25,14827B,10069.0799016471
1,2020-08-25T11:00:00Z,2,25,14827B,532.793581042416
1,2020-08-24T12:00:00Z,2,37,10793A,10888.0885644365
1,2020-08-24T13:00:00Z,2,37,10793A,27124.4174231827
1,2020-08-24T14:00:00Z,2,37,10793A,19551.5791172345
1,2020-08-24T15:00:00Z,2,37,10793A,10706.0863553311
1,2020-08-24T16:00:00Z,2,37,10793A,6018.118450119
1,2020-08-24T17:00:00Z,2,37,10793A,177.597860347472
1,2020-08-24T18:00:00Z,2,37,10793A,3358.76997541177
1,2020-08-24T19:00:00Z,2,37,10793A,6910.51210061426
1,2020-08-24T20:00:00Z,2,37,10793A,708.189267010941
1,2020-08-24T21:00:00Z,2,37,10793A,1195.38498770589
1,2020-08-24T22:00:00Z,2,37,10793A,20592.499615212
1,2020-08-24T23:00:00Z,2,37,10793A,7347.70561220384
1,2020-08-25T00:00:00Z,2,37,10793A,9260.26271497402
1,2020-08-25T01:00:00Z,2,37,10793A,729.195720694944
1,2020-08-25T02:00:00Z,2,37,10793A,3977.96569610671
1,2020-08-25T06:00:00Z,2,37,10793A,4918.118450119
1,2020-08-25T08:00:00Z,2,37,10793A,3678.3442301286
1,2020-08-25T09:00:00Z,2,37,10793A,2614.95924242271
1,2020-08-25T10:00:00Z,2,37,10793A,772.591406663469
1,2020-08-25T11:00:00Z,2,37,10793A,577.182813326938
1,2020-08-25T12:00:00Z,3,12,19231J,32911.9443929184
1,2020-08-25T13:00:00Z,3,12,19231J,2324.1656613803
1,2020-08-25T14:00:00Z,3,12,19231J,45593.3085973321
1,2020-08-25T15:00:00Z,3,12,19231J,73710.7573424963
1,2020-08-25T16:00:00Z,3,12,19231J,2545.15920769629
1,2020-08-25T17:00:00Z,3,12,19231J,53506.0996260143
1,2020-08-25T18:00:00Z,3,12,19231J,68573.6323659726
1,2020-08-25T19:00:00Z,3,12,19231J,57964.6577785653
1,2020-08-25T20:00:00Z,3,12,19231J,59256.0154704748
1,2020-08-25T21:00:00Z,3,12,19231J,59316.6470444254
1,2020-08-25T22:00:00Z,3,12,19231J,52931.6372044515
1,2020-08-25T23:00:00Z,3,12,19231J,50259.7195027412
1,2020-08-26T00:00:00Z,3,12,19231J,51021.8909950651
1,2020-08-26T01:00:00Z,3,12,19231J,5823.23636133462
1,2020-08-26T02:00:00Z,3,12,19231J,819.182813326938
1,2020-08-26T03:00:00Z,3,12,19231J,2503.96569610671
1,2020-08-26T04:00:00Z,3,12,19231J,0
1,2020-08-26T05:00:00Z,3,12,19231J,16779.5119885452
1,2020-08-26T08:00:00Z,3,12,19231J,1216.39144138989
1,2020-08-26T09:00:00Z,3,12,19231J,7693.40356271264
1,2020-08-26T10:00:00Z,3,12,19231J,8475.06261680114
1,2020-08-26T11:00:00Z,3,12,19231J,6554.13640553176
1,2020-08-25T12:00:00Z,3,15,18291F,22863.6223099097
1,2020-08-25T13:00:00Z,3,15,18291F,5287.53995082354
1,2020-08-25T14:00:00Z,3,15,18291F,17062.2923457476
1,2020-08-25T15:00:00Z,3,15,18291F,48766.447592664
1,2020-08-25T16:00:00Z,3,15,18291F,31680.6692761115
1,2020-08-25T17:00:00Z,3,15,18291F,5983.70561220384
1,2020-08-25T18:00:00Z,3,15,18291F,18337.4243899589
1,2020-08-25T19:00:00Z,3,15,18291F,69464.76454584
1,2020-08-25T20:00:00Z,3,15,18291F,52314.4477811461
1,2020-08-25T21:00:00Z,3,15,18291F,50684.1767407974
1,2020-08-25T22:00:00Z,3,15,18291F,18602.7383025896
1,2020-08-25T23:00:00Z,3,15,18291F,5533.12490380301
1,2020-08-26T00:00:00Z,3,15,18291F,16277.9281148835
1,2020-08-26T01:00:00Z,3,15,18291F,46017.100538446
1,2020-08-26T02:00:00Z,3,15,18291F,11784.0262367018
1,2020-08-26T03:00:00Z,3,15,18291F,1792.58070840083
1,2020-08-26T04:00:00Z,3,15,18291F,0
1,2020-08-26T05:00:00Z,3,15,18291F,8304.28632060467
1,2020-08-26T06:00:00Z,3,15,18291F,0
1,2020-08-26T07:00:00Z,3,15,18291F,2347.37428944324
1,2020-08-26T08:00:00Z,3,15,18291F,5535.32707818195
1,2020-08-26T09:00:00Z,3,15,18291F,4757.3377764446
1,2020-08-26T10:00:00Z,3,15,18291F,2127.76352172777
1,2020-08-26T11:00:00Z,3,15,18291F,16555.5138811786
1,2020-08-25T12:00:00Z,3,18,16829E,12793.6499117853
1,2020-08-25T13:00:00Z,3,18,16829E,18781.7790601669
1,2020-08-25T14:00:00Z,3,18,16829E,5906.13135748701
1,2020-08-25T16:00:00Z,3,18,16829E,6039.33998554996
1,2020-08-25T17:00:00Z,3,18,16829E,14015.8476679535
1,2020-08-25T18:00:00Z,3,18,16829E,18482.2177128181
1,2020-08-25T19:00:00Z,3,18,16829E,27633.5340927374
1,2020-08-25T20:00:00Z,3,18,16829E,15857.8262714282
1,2020-08-25T21:00:00Z,3,18,16829E,17693.413433513
1,2020-08-25T22:00:00Z,3,18,16829E,16419.0112938605
1,2020-08-25T23:00:00Z,3,18,16829E,13915.0455977538
1,2020-08-26T00:00:00Z,3,18,16829E,3165.56355645419
1,2020-08-26T01:00:00Z,3,18,16829E,6948.12065922437
1,2020-08-26T02:00:00Z,3,18,16829E,3028.1656613803
1,2020-08-26T03:00:00Z,3,18,16829E,1682.58070840083
1,2020-08-26T05:00:00Z,3,18,16829E,906.793581042416
1,2020-08-26T06:00:00Z,3,18,16829E,3251.96569610671
1,2020-08-26T07:00:00Z,3,18,16829E,3276.55710277018
1,2020-08-26T08:00:00Z,3,18,16829E,487.195720694944
1,2020-08-26T09:00:00Z,3,18,16829E,6521.13781117101
1,2020-08-26T10:00:00Z,3,18,16829E,1238.78067367441
1,2020-08-26T11:00:00Z,3,18,16829E,2277.57425471683
1,2020-08-25T12:00:00Z,3,20,16509C,8585.49273956225
1,2020-08-25T13:00:00Z,3,20,16509C,24550.8825674446
1,2020-08-25T14:00:00Z,3,20,16509C,7392.30992623531
1,2020-08-25T16:00:00Z,3,20,16509C,953.384987705885
1,2020-08-25T17:00:00Z,3,20,16509C,5805.11420554037
1,2020-08-25T18:00:00Z,3,20,16509C,31239.6009133844
1,2020-08-25T19:00:00Z,3,20,16509C,42177.2615234324
1,2020-08-25T20:00:00Z,3,20,16509C,13067.4112244077
1,2020-08-25T21:00:00Z,3,20,16509C,23152.4889169494
1,2020-08-25T22:00:00Z,3,20,16509C,45863.8832377442
1,2020-08-25T23:00:00Z,3,20,16509C,23735.2847070972
1,2020-08-26T00:00:00Z,3,20,16509C,17438.7855138509
1,2020-08-26T01:00:00Z,3,20,16509C,8351.26695955266
1,2020-08-26T02:00:00Z,3,20,16509C,775.787127358413
1,2020-08-26T03:00:00Z,3,20,16509C,3294.36783575924
1,2020-08-26T07:00:00Z,3,20,16509C,1967.97639436935
1,2020-08-26T08:00:00Z,3,20,16509C,0
1,2020-08-26T09:00:00Z,3,20,16509C,242
1,2020-08-26T10:00:00Z,3,20,16509C,7637.50564693026
1,2020-08-25T12:00:00Z,3,25,14827B,2568.36783575924
1,2020-08-25T13:00:00Z,3,25,14827B,40154.514618537
1,2020-08-25T14:00:00Z,3,25,14827B,35119.8972083363
1,2020-08-25T15:00:00Z,3,25,14827B,9565.48559915399
1,2020-08-25T16:00:00Z,3,25,14827B,1038.79358104242
1,2020-08-25T17:00:00Z,3,25,14827B,19620.8823566214
1,2020-08-25T18:00:00Z,3,25,14827B,39889.3079910791
1,2020-08-25T19:00:00Z,3,25,14827B,62963.3101787593
