Week,Time,Day,Age_in_months,IdLabel,sum_distance_hourly
1,21:00:00,3,20,16509C,23152.4889169494
1,22:00:00,3,20,16509C,45863.8832377442
1,23:00:00,3,20,16509C,23735.2847070972
1,12:00:00,3,25,14827B,2568.36783575924
1,13:00:00,3,25,14827B,40154.514618537
1,14:00:00,3,25,14827B,35119.8972083363
1,15:00:00,3,25,14827B,9565.48559915399
1,16:00:00,3,25,14827B,1038.79358104242
1,17:00:00,3,25,14827B,19620.8823566214
1,18:00:00,3,25,14827B,39889.3079910791
1,19:00:00,3,25,14827B,62963.3101787593
1,20:00:00,3,25,14827B,43358.7024647395
1,21:00:00,3,25,14827B,57542.8203597262
1,22:00:00,3,25,14827B,43820.1598289097
1,23:00:00,3,25,14827B,25999.3298483362
1,12:00:00,3,37,10793A,4763.72921783448
1,13:00:00,3,37,10793A,1725.97639436935
1,15:00:00,3,37,10793A,1924.58070840083
1,16:00:00,3,37,10793A,4075.55285819155
1,17:00:00,3,37,10793A,2390.76997541177
1,18:00:00,3,37,10793A,12761.551720585
1,19:00:00,3,37,10793A,15517.5746766826
1,20:00:00,3,37,10793A,16886.032794636
1,21:00:00,3,37,10793A,10982.6376441008
1,22:00:00,3,37,10793A,664.793581042416
1,23:00:00,3,37,10793A,953.384987705885
1,12:00:00,4,12,19231J,0
1,13:00:00,4,12,19231J,15301.3779147814
1,14:00:00,4,12,19231J,48307.7526604038
1,15:00:00,4,12,19231J,530.591406663469
1,16:00:00,4,12,19231J,8701.06478517371
1,17:00:00,4,12,19231J,57223.6311081542
1,18:00:00,4,12,19231J,60884.907093208
1,19:00:00,4,12,19231J,33746.3407909958
1,20:00:00,4,12,19231J,40141.7782455666
1,21:00:00,4,12,19231J,33002.2141282661
1,22:00:00,4,12,19231J,33228.2222415345
1,23:00:00,4,12,19231J,1437.38498770588
1,12:00:00,4,15,18291F,26380.415308478
1,13:00:00,4,15,18291F,26238.3600490922
1,14:00:00,4,15,18291F,7186.55940627619
1,15:00:00,4,15,18291F,4988.26255119145
1,16:00:00,4,15,18291F,33473.8820198034
1,17:00:00,4,15,18291F,15419.3768734737
1,18:00:00,4,15,18291F,11070.6326904567
1,19:00:00,4,15,18291F,62074.7009831432
1,20:00:00,4,15,18291F,37610.5267596301
1,21:00:00,4,15,18291F,68933.576426569
1,22:00:00,4,15,18291F,61687.2112856656
1,23:00:00,4,15,18291F,72941.886330463
1,12:00:00,4,18,16829E,3254.16787048566
1,13:00:00,4,18,16829E,10778.477796721
1,14:00:00,4,18,16829E,12597.0326903858
1,15:00:00,4,18,16829E,2145.57425471683
1,16:00:00,4,18,16829E,5130.3442301286
1,17:00:00,4,18,16829E,22183.7705710096
