p1,p2,pianka_index
10793A,14827B,0.963666830667565
10793A,16509C,0.527954697407498
10793A,16829E,0.736495778743897
10793A,18291F,0.98420088256836
10793A,19231J,0.95958840340522
14827B,16509C,0.652570498989602
14827B,16829E,0.739810954779228
14827B,18291F,0.991726818624165
14827B,19231J,0.973052579468663
16509C,16829E,0.265261090486687
16509C,18291F,0.633520522410301
16509C,19231J,0.62826548671992
16829E,18291F,0.713413835028954
16829E,19231J,0.78592228683108
18291F,19231J,0.974932082437475
