IdLabel,mean_pianka,Age_in_months
10793A,0.711418425506803,37
14827B,0.697177518973761,25
16509C,0.42864276449091,20
16829E,0.453852919401638,18
18291F,0.713273072037806,15
19231J,0.772929935013708,12
