p1,p2,pianka_index
10793A,14827B,0.825762673245548
10793A,16509C,0.422490076379429
10793A,16829E,0.450725007231035
10793A,18291F,0.940857272961967
10793A,19231J,0.917257097716036
14827B,16509C,0.273769739392349
14827B,16829E,0.806439851277932
14827B,18291F,0.78095918780624
14827B,19231J,0.798956143146737
16509C,16829E,0.100765246878944
16509C,18291F,0.590987531746177
16509C,19231J,0.755201228057653
16829E,18291F,0.385830326573405
16829E,19231J,0.525504165046874
18291F,19231J,0.867731041101239
